gene,log2FC,pvalue,mean_normal,mean_tumor,adj_pvalue,significant
COL10A1,3.577497056142535,2.984775239309824e-35,3.4895039815882347,7.06700103773077,6.457561230246804e-31,True
PVRL4,1.8649321363093891,3.4695956987435014e-30,3.446957008411765,5.311889144721154,3.753235147115783e-26,True
FBXL16,1.5311261571971153,6.987980998824467e-26,3.1681527649999994,4.699278922197115,3.7796242227391832e-22,True
RSPH1,1.8621347982251133,6.887048979125872e-24,2.8815375012941176,4.743672299519231,2.9800260932677644e-20,True
LRRC15,1.8405733730189473,4.7321553327741707e-23,3.024603898764706,4.8651772717836534,1.2797522578071148e-19,True
IGSF9,1.7021726698925335,4.3408572761278654e-23,2.743649399588235,4.445822069480768,1.2797522578071148e-19,True
CGN,2.781405119702771,7.920796303731558e-23,3.3822527632058823,6.1636578829086535,1.9040714225692474e-19,True
FAM83D,2.4751788655684384,1.5986873049398367e-21,2.9249072999411765,5.400086165509615,2.470542845883812e-18,True
UBE2T,2.0570015989643653,1.8426882825067435e-21,3.4164361303529414,5.473437729317307,2.6577707328022262e-18,True
PAQR4,2.4470449425373295,3.327433391607097e-21,3.880032695058824,6.327077637596154,4.234648319259973e-18,True
EIF3C,1.7405683622426467,4.841575142360043e-21,2.748787316882353,4.4893556791249996,5.819304344719974e-18,True
ARNT2,2.3238229264276025,9.6818870175613e-21,2.8295583547647056,5.153381281192308,1.0473381281246936e-17,True
LLGL2,1.6563262539728498,1.2049966540729141e-20,3.1653358789117654,4.821662132884615,1.241433457660357e-17,True
TRIM45,1.6290531450395913,1.8667720005287778e-20,3.806291664941177,5.435344809980768,1.8358005559745502e-17,True
DHRS13,1.9870039024564479,4.872191240249392e-20,2.7613567827647056,4.7483606852211535,4.3920773951164834e-17,True
FLVCR1,2.0308532297618775,8.657974626961317e-20,4.915696054382353,6.946549284144231,7.204433886704158e-17,True
S100P,4.353546763707579,1.235951958609681e-19,3.739604333705883,8.093151097413461,9.903637268340907e-17,True
PRC1,3.4030210671057697,2.4307585633510504e-19,3.586378133,6.98939920010577,1.6434206724406243e-16,True
ELMO3,1.8419316666860857,5.286940528988309e-19,2.6693860928235296,4.511317759509615,3.2680845241332017e-16,True
COMP,3.4335924495237555,1.888063390000909e-18,3.4184204547647057,6.852012904288461,9.499593358760386e-16,True
RECQL4,1.6415406619029982,3.7459589169898856e-18,4.164290117294119,5.805830779197117,1.7391949861147992e-15,True
TPX2,2.3980624353755653,3.77823731672732e-18,3.5636348054705884,5.961697240846154,1.7391949861147992e-15,True
ZBTB42,2.0030827092392536,4.093655746027772e-18,3.7807416740588233,5.783824383298077,1.8451300430273094e-15,True
FAAH2,1.570615526442873,5.808362069926317e-18,2.760289411470588,4.330904937913461,2.5645696608746095e-15,True
RP11-174G6.5,2.223521376640837,6.095588703691851e-18,3.8698611201764703,6.093382496817307,2.637561232087464e-15,True
CSTA,-2.37941790845362,7.60411278624779e-18,11.252667570588235,8.873249662134615,3.2257839241268807e-15,True
SBK1,2.308608922708428,1.4809670651112813e-17,3.7428875104117645,6.051496433120192,5.825585900669559e-15,True
RAB26,2.158458521017817,1.828436912882185e-17,4.071551388823529,6.230009909841346,6.820536712370733e-15,True
HOTAIR,1.6064145882720595,2.862801985507981e-17,2.353165519352941,3.9595801076250003,1.0001836905156406e-14,True
PSRC1,1.8638583709259047,4.9385640048182005e-17,4.081112611352942,5.944970982278846,1.618876246124875e-14,True
FOXM1,1.5276287921368779,5.236942179154559e-17,2.4581492578823525,3.9857780500192304,1.6661947653824836e-14,True
RP5-1092A3.4,1.7079388252285073,6.642968322389606e-17,2.686930540117647,4.394869365346154,2.082907531230422e-14,True
COL11A1,3.795111321073529,8.838002496160586e-17,3.120001088509804,6.915112409583333,2.693101183161046e-14,True
C11orf80,2.549113053611993,1.5283375100724847e-16,3.5276920796764704,6.076805133288463,4.3507344776866055e-14,True
SAPCD2,2.412374771354071,2.04011358661616e-16,3.641045662588236,6.053420433942307,5.6586996726205924e-14,True
KIFC2,1.7796828000780538,2.8181807037145297e-16,4.730084354441177,6.50976715451923,7.345944521067934e-14,True
RAB15,1.8986030015930426,3.966611582848654e-16,3.297342351911765,5.195945353504808,9.864096735049496e-14,True
FLJ38379,1.5380357084428722,4.13740365713562e-16,2.656166571470589,4.194202279913461,1.0057609901362824e-13,True
SDC1,4.4956336540042425,9.648562978749796e-16,3.3723705015294114,7.8680041555336535,2.1158834397946703e-13,True
NAT14,2.323228871003959,1.0843709737607048e-15,3.9583649902941174,6.281593861298076,2.346036601731285e-13,True
TRAPPC10,1.5003991248141961,1.2222077013172597e-15,3.848373906411765,5.348773031225961,2.6180657047523674e-13,True
ATAD2,1.5189157421832586,2.6257756537884314e-15,4.806495722970588,6.325411465153847,5.117896961235379e-13,True
BAIAP2L1,2.345300810152527,5.7706497258466206e-15,3.541270302235294,5.886571112387821,1.0074870233592225e-12,True
SPAG1,1.5430735129869912,6.388706391483309e-15,3.3559741861764705,4.899047699163462,1.0916664171644954e-12,True
S100A14,3.3253993683382355,6.559062596808875e-15,3.405686053411765,6.7310854217500005,1.1086353068903124e-12,True
HMGB3,2.092445528026585,6.710888310233554e-15,4.670127268117646,6.762572796144231,1.12550440768917e-12,True
IGFBP2,1.903216665599547,7.789958916847245e-15,2.8687494218235297,4.771966087423077,1.2767860694393193e-12,True
EVL,2.436000058733316,1.0184237925831021e-14,5.4471238666176465,7.883123925350962,1.6566615603410085e-12,True
CST6,1.542230658428167,1.1006053932849371e-14,2.5441731952352944,4.0864038536634615,1.7769849017701204e-12,True
CCDC64B,1.904090692549774,1.265359130550341e-14,3.354169701411765,5.258260393961539,1.998251444485885e-12,True
GALNT6,3.5656575379694577,1.5070534864093447e-14,3.1121922070882353,6.677849745057693,2.3456908042061996e-12,True
PAFAH1B3,3.836438500257355,1.588020822841549e-14,4.809603168117647,8.646041668375002,2.436654645544462e-12,True
TNNT1,2.4366474811645933,1.6028441184904688e-14,2.8947889269411764,5.33143640810577,2.4420797537705137e-12,True
ANLN,1.9073266426117073,2.153188110693456e-14,2.7554532439411767,4.662779886552884,3.105614984990195e-12,True
PPAP2C,2.511082413789027,2.261984020695523e-14,3.9349894294705887,6.446071843259616,3.2409287607779898e-12,True
C1orf106,1.9296219698636876,3.609212240097347e-14,3.7367865075882354,5.666408477451923,4.911025585817994e-12,True
WDR54,2.076031524786199,3.887642511620017e-14,4.561097295117648,6.637128819903847,5.224170542788762e-12,True
CFB,1.5537791664086535,4.3925915523529975e-14,4.9409822065,6.494761372908654,5.830289462279577e-12,True
TMEM125,3.1347338554654978,4.521116659713515e-14,3.044567729294118,6.1793015847596156,5.928142965630418e-12,True
LAMA5,2.006870986598982,4.6266989206435326e-14,5.759314239352941,7.766185225951923,6.030038020971255e-12,True
TLCD1,1.6822390301934393,4.681896664947311e-14,3.5210858149411766,5.203324845134616,6.0654391824032976e-12,True
LRRN1,1.5956451199802042,5.544379072732677e-14,2.640165298529412,4.235810418509616,6.973990769684387e-12,True
PRSS8,3.853290848264706,5.513194025990617e-14,3.648261341235294,7.5015521895,6.973990769684387e-12,True
ARHGAP32,1.580372969093042,5.835349536348788e-14,4.148229115661765,5.728602084754807,7.255619955109541e-12,True
FAM110A,1.9100167504892527,6.354927681926742e-14,3.9610701170588234,5.871086867548076,7.767732225903111e-12,True
SHISA2,2.3865553094157246,7.27395147371087e-14,2.8212475938823527,5.207802903298077,8.74288556298526e-12,True
GJB2,2.893236508774321,8.809214452930098e-14,3.1226536832352942,6.015890192009615,1.0358008407018622e-11,True
