gene,hazard_ratio,hr_ci_lower,hr_ci_upper,cox_pvalue,cox_significant,direction
MLPH,0.9678369081803508,0.9092293754871502,1.0302221926499326,0.3050106484559955,False,protective
SFRP1,0.9393932064935484,0.8874863504893034,0.9943359646260459,0.031097432059553676,True,protective
FOXA1,0.9906297708181149,0.9367935835653706,1.0475598467446925,0.7412351805663027,False,protective
NPY1R,0.9341033515429504,0.8901281843325596,0.9802510320668387,0.005593738117215286,True,protective
RRM2,1.100080827590982,0.9717641176000891,1.2453411330127804,0.1317247170460838,False,risk
AGR3,0.9721969464660587,0.9360468112907999,1.0097432001446083,0.1447170133923637,False,protective
SLC39A6,0.9632304226987101,0.8839413906043212,1.0496316351675998,0.39268480851203924,False,protective
CEP55,1.0483630492927065,0.929091233239411,1.1829463499405244,0.44341608888030204,False,risk
NAT1,0.9702004144913935,0.9160350410023569,1.0275685996130466,0.30200969459560456,False,protective
CYP2B7P,1.002131625434167,0.9654374257192143,1.040220492744192,0.9109193165891062,False,risk
GATA3,0.9491987313439842,0.884643363153019,1.0184649194380322,0.1468286459042392,False,protective
MAMDC2,1.0201578448096984,0.9259539451529595,1.1239457791335945,0.686418368066763,False,risk
AURKA,1.0683946799631903,0.9408846283709114,1.213185078971939,0.30760921429330107,False,risk
SLC16A6,0.9401672317790241,0.8684619814938496,1.0177928827587865,0.1274458878074274,False,protective
MT1M,0.9039751837196083,0.8181464123185334,0.9988079400912241,0.047322994024009406,True,protective
CA12,0.9773251267403996,0.9171641806845171,1.0414323012977458,0.4792164236102249,False,protective
CDC20,1.0387834028248732,0.9302496055549374,1.1599800220723626,0.4991629853016394,False,risk
HOXA5,0.9877811854379133,0.8870423221809971,1.0999606736983172,0.8227529286770694,False,protective
SDC1,1.19057024099361,1.0343900816759781,1.3703316803298584,0.015047483020127225,True,risk
TSLP,0.8611209925874893,0.7897893841318431,0.9388950760460918,0.0007011294544890622,True,protective
RGN,0.9771002817528497,0.8899719548333483,1.0727584789795712,0.6268728345166419,False,protective
EZH2,1.0297220158041283,0.8765879227455731,1.2096076187208364,0.7214377904202345,False,risk
PAMR1,0.9559671418572331,0.8497939280030163,1.0754056321139582,0.45344228042812296,False,protective
PCDH9,1.0525031936205427,0.9589366717058004,1.1551993007117998,0.2813672148657047,False,risk
TFF1,0.9612588889497831,0.9305050186796796,0.9930291970870699,0.017237146444188986,True,protective
CENPK,1.0584311897273735,0.9003247990617319,1.2443027055960165,0.4914829460567606,False,risk
F3,0.9485330928375402,0.8472887702383277,1.0618753131295193,0.35888606786137456,False,protective
KIF20A,1.0837274427797838,0.9579242988147098,1.2260521751950937,0.20154243334334393,False,risk
KIF18B,1.0406476870953603,0.9321308643749148,1.1617978226513779,0.4782537838820643,False,risk
