gene,count,stability,mean_abs_shap,logrank_pvalue,significant
MLPH,100,1.0,0.2796889,0.0249723250508682,True
SFRP1,100,1.0,0.27193877,0.0368693226380968,True
FOXA1,100,1.0,0.2561495,0.5517637477371792,False
NPY1R,100,1.0,0.21885452,0.0256026721509764,True
NAT1,99,0.99,0.12938274,0.283431755152326,False
SLC39A6,99,0.99,0.16328564,0.248160779029468,False
RRM2,96,0.96,0.16705985,,
CEP55,96,0.96,0.15198173,0.2254959585314127,False
AGR3,94,0.94,0.16682382,0.3424725103537949,False
GATA3,88,0.88,0.10310309,0.3600887322694622,False
CYP2B7P,84,0.84,0.11664334,0.5420087921649037,False
CA12,59,0.59,0.07986358,,
AURKA,56,0.56,0.09115342,0.1692506857105713,False
TSLP,43,0.43,0.060583908,,
AGR2,41,0.41,0.03927108,0.3477064845894551,False
MT1M,41,0.41,0.080026425,,
TFF3,39,0.39,0.03673631,,
SOX11,38,0.38,0.05609629,,
NUF2,36,0.36,0.050707147,,
MAMDC2,33,0.33,0.1003518,,
UBE2T,31,0.31,0.038980633,0.0527315285523529,False
CAV1,31,0.31,0.0441329,,
CDC20,27,0.27,0.07341053,,
F3,26,0.26,0.04371372,,
EDNRB,24,0.24,0.051957518,,
FGF2,24,0.24,0.030022603,0.2025047233978098,False
SPRY2,23,0.23,0.055978417,0.0532723542263741,False
DEGS2,22,0.22,0.045453016,,
HOXA5,19,0.19,0.07328058,,
SDC1,19,0.19,0.06557321,,
PPP1R14A,19,0.19,0.031833198,,
IL33,17,0.17,0.026283022,,
NDC80,16,0.16,0.027156945,,
CRYAB,15,0.15,0.027883787,,
CREB3L4,15,0.15,0.05710606,,
KIF18B,13,0.13,0.048194803,,
SCN4B,13,0.13,0.020728873,,
SLC16A6,13,0.13,0.08117899,,
ITM2A,12,0.12,0.032547984,,
SPDEF,11,0.11,0.059536863,,
MT1X,9,0.09,0.014104128,,
ORC6,8,0.08,0.03840397,,
ZNF703,8,0.08,0.04439206,,
DTL,7,0.07,0.029985497,,
TFF1,7,0.07,0.03529739,,
CLGN,7,0.07,0.049296897,,
RGN,7,0.07,0.027978,,
ACKR1,6,0.06,0.015780888,,
SAPCD2,6,0.06,0.054996092,,
PAMR1,6,0.06,0.010845611,,
MIR100HG,6,0.06,0.00986894,,
FAM83D,5,0.05,0.027948262,,
GYPC,5,0.05,0.01224909,,
IGFBP6,4,0.04,0.022587664,,
LARP6,4,0.04,0.059053972,,
VLDLR,4,0.04,0.016748441,,
CORO2B,4,0.04,0.003061183,,
CFB,4,0.04,0.04588118,,
DLGAP5,4,0.04,0.021589702,,
HMGB3,3,0.03,0.011592134,,
TPD52,3,0.03,0.03723224,,
ANLN,3,0.03,0.03261237,,
ASPM,3,0.03,0.010004009,,
CAV2,2,0.02,0.00935829,,
RACGAP1,2,0.02,0.0007917962,,
SYNM,2,0.02,0.028247375,,
S100A7,2,0.02,0.021213891,,
CENPF,2,0.02,0.022838064,,
JAM2,2,0.02,0.0067882673,,
BMPR1B,2,0.02,0.0050019263,,
CD24,2,0.02,0.02733922,,
GINS1,2,0.02,0.023848576,,
CEBPA,2,0.02,0.0048487145,,
MEIS2,2,0.02,0.009347714,,
ADAMTS1,1,0.01,0.0065364093,,
TTK,1,0.01,0.037333086,,
