source,target,relation
MLPH,Griscelli Syndrome,ASSOCIATED_WITH
MLPH,Breast Cancer Subtyping,ASSOCIATED_WITH
MLPH,Vesicle Transport,PARTICIPATES_IN
SFRP1,Breast Cancer,ASSOCIATED_WITH
SFRP1,Colorectal Cancer,ASSOCIATED_WITH
SFRP1,Wnt Signaling,PARTICIPATES_IN
FOXA1,Luminal Breast Cancer,ASSOCIATED_WITH
FOXA1,Prostate Cancer,ASSOCIATED_WITH
FOXA1,Transcriptional Regulation,PARTICIPATES_IN
NPY1R,Obesity,ASSOCIATED_WITH
NPY1R,Breast Cancer,ASSOCIATED_WITH
NPY1R,Neuropeptide Signaling,PARTICIPATES_IN
AGR3,Protein Folding (ER),PARTICIPATES_IN
SLC39A6,Zinc Transport,PARTICIPATES_IN
CEP55,Breast Cancer,ASSOCIATED_WITH
CEP55,MARCH Syndrome,ASSOCIATED_WITH
CEP55,Cell Cycle,PARTICIPATES_IN
NAT1,Breast Cancer,ASSOCIATED_WITH
NAT1,Drug Metabolism Variation,ASSOCIATED_WITH
NAT1,Drug Metabolism,PARTICIPATES_IN
CYP2B7P,Drug Metabolism,PARTICIPATES_IN
GATA3,Luminal Breast Cancer,ASSOCIATED_WITH
GATA3,Hypoparathyroidism,ASSOCIATED_WITH
GATA3,Transcriptional Regulation,PARTICIPATES_IN
AURKA,Breast Cancer,ASSOCIATED_WITH
AURKA,Ovarian Cancer,ASSOCIATED_WITH
AURKA,Cell Cycle,PARTICIPATES_IN
