gene,n_high,n_low,logrank_stat,logrank_pvalue,significant,threshold
TSLP,517,517,6.717363092725341,0.009547869220020955,True,3.823177352374225
MLPH,517,517,6.428872465185508,0.011227983438002647,True,14.13381851879845
NPY1R,517,517,5.459378045467719,0.019463573505891188,True,10.023262609287649
SFRP1,517,517,5.2368365986028715,0.02211344900657278,True,10.87267888495525
SDC1,517,517,5.076863619995438,0.024247193418887997,True,14.21535093421575
CEP55,517,517,3.894982756938739,0.048430536316288374,True,10.0490459010564
AURKA,517,517,1.7708000153378907,0.18328310182754476,False,10.187144527958651
AGR3,517,517,1.6908950085885888,0.19348302936100495,False,12.25956006693845
GATA3,517,517,1.6542643441157021,0.19837952341651324,False,14.9614876580254
SLC39A6,517,517,1.564834142234963,0.21095881030363628,False,15.0718076309009
SLC16A6,517,517,1.4727015682301527,0.22491993037144895,False,9.82955494851019
NAT1,517,517,1.0758391992611105,0.29963022374130865,False,11.5662734324992
HOXA5,517,517,0.6275389031754239,0.42825949998450485,False,6.735075224303035
MT1M,517,517,0.5759120446312458,0.4479191448040549,False,5.61854239765956
MAMDC2,517,517,0.396512092334961,0.5288960774392031,False,7.387567116724535
CA12,517,517,0.3142359065376098,0.5750924216887783,False,14.3994810042104
RRM2,517,517,0.1282684711619388,0.7202341460928656,False,11.354448669413049
CYP2B7P,517,517,0.05335583419650725,0.8173234888300283,False,10.12074324161345
CDC20,517,517,0.001185522637396806,0.9725331293130688,False,10.5844937561028
FOXA1,517,517,0.0003617064204531901,0.9848262826544747,False,14.16960123073925
