gene,multitask_importance,multitask_rank
TFF1,0.00046715667,1
MYZAP,0.0004616686,2
MARCO,0.00046077446,3
MAMDC2,0.00045112052,4
ADH1C,0.00044779375,5
SLC39A6,0.00043323284,6
TMOD1,0.00043150355,7
CA3,0.0004284563,8
RHOQ,0.00042658177,9
NDC80,0.00042509247,10
SFRP1,0.0004211746,11
HLF,0.00041762704,12
CD24,0.00040781943,13
PAMR1,0.00040648374,14
RUSC1,0.00040105864,15
EZH2,0.0003964036,16
GJB2,0.0003776275,17
MYBL2,0.00037729676,18
FADS3,0.0003725228,19
F3,0.0003649694,20
NPNT,0.0003642891,21
TXNIP,0.00036195767,22
CLGN,0.00035435858,23
SLC19A3,0.00035413547,24
TMEM97,0.00035391477,25
SLC39A4,0.00035310708,26
AGR3,0.00035286587,27
NAT1,0.0003522929,28
SGK2,0.00035198152,29
SYNM,0.00035168676,30
SEL1L2,0.0003482027,31
PCDH9,0.000344834,32
GPIHBP1,0.00034203805,33
LSR,0.00033976272,34
ORC6,0.00033875727,35
CREB3L4,0.000337195,36
RGN,0.00033571248,37
ZNF703,0.0003356034,38
TSLP,0.00033523067,39
TPX2,0.00033519327,40
MRGPRF,0.00032960778,41
MMP28,0.00032646654,42
ERP27,0.0003214133,43
PLXNA4,0.0003181792,44
MMD,0.0003147709,45
PALMD,0.00030834303,46
KIF18B,0.00030458535,47
MT1X,0.000303979,48
CHTF18,0.00030390776,49
SYNPO2,0.00030340426,50
AGPAT2,0.00029988665,51
SPAG5,0.0002998225,52
DGAT2,0.0002997671,53
SGCG,0.00029931113,54
TLN2,0.0002984208,55
CST6,0.00029832975,56
SCARA5,0.00029832846,57
FAM13A,0.00029770212,58
RDH5,0.00029520591,59
KRT18,0.0002930885,60
SORD,0.0002926188,61
KCNB1,0.00029079377,62
STARD10,0.00028997846,63
TNNT1,0.00028784014,64
ATAD2,0.00028696808,65
SOX11,0.00028459635,66
CLIP4,0.0002845359,67
MELK,0.0002842872,68
FAM83D,0.0002839273,69
CRYAB,0.00028155223,70
AADAC,0.00028102178,71
SLITRK6,0.0002796118,72
GYG2,0.0002789277,73
CYP2B7P,0.00027694943,74
GINS1,0.00027542457,75
MRAS,0.00027531578,76
PDE2A,0.00027435817,77
ADHFE1,0.00027376637,78
VIT,0.00027357088,79
LDHD,0.00027319006,80
MEOX2,0.0002717072,81
KRT8,0.0002709523,82
VLDLR,0.00026893892,83
ADAMTS5,0.00026874247,84
PYCARD,0.0002668105,85
GPC3,0.0002661042,86
MUC1,0.00026372177,87
SPX,0.00026364476,88
TFF3,0.0002619179,89
SULF1,0.00026132094,90
ARHGAP20,0.00026094113,91
TK1,0.0002606764,92
KIFC2,0.0002602312,93
MB,0.0002588437,94
GPR146,0.00025837496,95
MFAP2,0.00025798118,96
TCEAL7,0.00025781948,97
ASPM,0.00025745988,98
CA12,0.00025704078,99
MRAP,0.00025650678,100
RRM2,0.00025644948,101
DDX39A,0.0002559037,102
MLXIPL,0.00025539813,103
CENPK,0.0002539238,104
TGFBR3,0.00025199668,105
MMP1,0.00025057315,106
ZBTB16,0.00024676963,107
AURKA,0.00024516217,108
AP1M2,0.00024458623,109
RGS2,0.00024457526,110
EBF3,0.0002442696,111
TTK,0.00024416487,112
UHRF1,0.00024235327,113
MTURN,0.00024224404,114
MAOA,0.0002420026,115
ABCD2,0.0002414743,116
SEMA3G,0.00024084932,117
THSD7B,0.00024002221,118
SLC7A5,0.00024000778,119
ACSL1,0.00023982118,120
IGFBP6,0.00023981683,121
MGLL,0.00023867397,122
LIPE,0.00023834656,123
OGN,0.00023829359,124
AKAP12,0.00023814742,125
HBB,0.00023813188,126
PKDCC,0.00023745836,127
HMGB3,0.00023711755,128
DLGAP5,0.0002370748,129
CEBPA,0.00023587806,130
GDF10,0.00023518922,131
ME1,0.00023311547,132
C6,0.0002329755,133
FGF2,0.00023251149,134
DMRT2,0.00023183577,135
APOBEC3B,0.0002315629,136
ALDOC,0.00023001696,137
CEACAM6,0.00022985203,138
PLA2G2A,0.00022878917,139
ACACB,0.00022854208,140
CDC7,0.00022816156,141
GATA3,0.00022774836,142
TSPAN1,0.00022726404,143
LINC01140,0.00022694521,144
STIL,0.00022692152,145
FMO2,0.00022656357,146
RASD1,0.00022589232,147
