gene,mean_abs_shap,rank
MLPH,0.2796889,1
SFRP1,0.27193877,2
FOXA1,0.2561495,3
NPY1R,0.21885452,4
RRM2,0.16705985,5
AGR3,0.16682382,6
SLC39A6,0.16328564,7
CEP55,0.15198173,8
NAT1,0.12938274,9
CYP2B7P,0.11664334,10
GATA3,0.10310309,11
MAMDC2,0.1003518,12
AURKA,0.09115342,13
SLC16A6,0.08117899,14
MT1M,0.080026425,15
CA12,0.07986358,16
CDC20,0.07341053,17
HOXA5,0.07328058,18
SDC1,0.06557321,19
TSLP,0.060583908,20
SPDEF,0.059536863,21
LARP6,0.059053972,22
CREB3L4,0.05710606,23
SOX11,0.05609629,24
SPRY2,0.055978417,25
SAPCD2,0.054996092,26
EDNRB,0.051957518,27
NUF2,0.050707147,28
CLGN,0.049296897,29
KIF18B,0.048194803,30
CFB,0.04588118,31
DEGS2,0.045453016,32
TPX2,0.044672318,33
ZNF703,0.04439206,34
CAV1,0.0441329,35
F3,0.04371372,36
ACSL1,0.041543126,37
AGR2,0.03927108,38
UBE2T,0.038980633,39
TMOD1,0.038812235,40
ORC6,0.03840397,41
TTK,0.037333086,42
TPD52,0.03723224,43
TFF3,0.03673631,44
GALNT6,0.036091544,45
TFF1,0.03529739,46
CCNB1,0.034518555,47
ANLN,0.03261237,48
ITM2A,0.032547984,49
CALML5,0.032266144,50
PPP1R14A,0.031833198,51
RUSC1,0.031716604,52
FGF2,0.030022603,53
DTL,0.029985497,54
RHOQ,0.028392866,55
SYNM,0.028247375,56
RGN,0.027978,57
FAM83D,0.027948262,58
CRYAB,0.027883787,59
ZWINT,0.02782582,60
CD24,0.02733922,61
NDC80,0.027156945,62
IL33,0.026283022,63
MMP28,0.025679123,64
CENPK,0.024286617,65
GINS1,0.023848576,66
CENPF,0.022838064,67
IGFBP6,0.022587664,68
DLGAP5,0.021589702,69
MAPK10,0.021557719,70
S100A7,0.021213891,71
SLC7A5,0.02093777,72
SCN4B,0.020728873,73
IFI6,0.020656282,74
SORD,0.019780923,75
ATAD2,0.019284075,76
DDX39A,0.018986704,77
RETSAT,0.018782578,78
HLF,0.018708505,79
FOXM1,0.01851392,80
DNAJC12,0.018465538,81
SPAG5,0.017677305,82
NCAPG,0.017095689,83
VLDLR,0.016748441,84
RBP7,0.016712068,85
THRSP,0.016359132,86
ZG16B,0.016092334,87
ACKR1,0.015780888,88
NPNT,0.015770234,89
CA3,0.015430229,90
KPNA2,0.015029491,91
MRAP,0.014907884,92
TLN2,0.014794276,93
MT1X,0.014104128,94
CXCL9,0.013913435,95
PAFAH1B3,0.013614969,96
CDCA3,0.013529782,97
EGLN3,0.013473253,98
PALMD,0.013136216,99
STIL,0.012767995,100
MFAP2,0.012762569,101
MYOC,0.012649382,102
MYBL2,0.012614405,103
PLXNA4,0.012258762,104
GYPC,0.01224909,105
TRIM59,0.012144541,106
RSPH1,0.011828183,107
SYNPO2,0.011822574,108
HMGB3,0.011592134,109
SQLE,0.011587528,110
MRGPRF,0.01158618,111
TMEM97,0.011505807,112
PRR15,0.0114941625,113
MARCO,0.011492166,114
SLC9A3R1,0.011391865,115
ITGA7,0.011223129,116
MMD,0.011172737,117
EPN3,0.011060832,118
MMP1,0.010928787,119
PAMR1,0.010845611,120
ERP27,0.010788592,121
KRT8,0.010777756,122
IGSF9,0.010496631,123
TSPAN1,0.010487241,124
BIN1,0.010432132,125
LSR,0.010291425,126
SLITRK6,0.010111174,127
BMP2,0.010069431,128
C2CD2,0.010038755,129
ASPM,0.010004009,130
MIR100HG,0.00986894,131
PROS1,0.009521691,132
CXCL10,0.009444104,133
CAV2,0.00935829,134
MEIS2,0.009347714,135
CDC7,0.009166644,136
CDKN1C,0.009155387,137
FANCI,0.009147476,138
PSRC1,0.009143629,139
P2RY12,0.009035586,140
CD36,0.009023423,141
ACSM5,0.009013787,142
DGAT2,0.008920828,143
KIF23,0.008850617,144
STARD10,0.008832626,145
PTTG1,0.008759149,146
TOP2A,0.008699694,147
CLIP4,0.008667539,148
MAOA,0.0085922135,149
SH3BGRL2,0.008579748,150
AKAP12,0.008359326,151
LEP,0.008234388,152
RGL1,0.008143867,153
SCD,0.008101873,154
PLAGL1,0.008098696,155
ECM2,0.008088945,156
TNNT1,0.008075856,157
HBB,0.007930586,158
SGCG,0.00791343,159
MFAP4,0.007843297,160
TRIP13,0.007836612,161
ME1,0.0078314915,162
GPIHBP1,0.007799228,163
PPP1R14B,0.007583993,164
CKMT2,0.0075536226,165
ALDOC,0.0073835314,166
FAM83H,0.007378961,167
TJP3,0.0073237265,168
FBXL16,0.007162748,169
FMO2,0.0071032136,170
ESRP1,0.0070733903,171
SLC29A4,0.0070555587,172
S100A14,0.0068494957,173
CHTF18,0.0068338104,174
ACKR4,0.0067965374,175
JAM2,0.0067882673,176
AKR1C3,0.0067703705,177
DEFB132,0.0067626974,178
CACNA2D1,0.0066749733,179
TF,0.0066662524,180
IGSF10,0.006651309,181
IRF7,0.0065908814,182
GYG2,0.0065594446,183
ADAMTS1,0.0065364093,184
CLDN5,0.006509039,185
PDE2A,0.00646096,186
HOGA1,0.006424766,187
MAP1LC3C,0.0063856062,188
SPP1,0.0063781864,189
MICU3,0.0063543296,190
MGLL,0.0062596835,191
WASF3,0.006194422,192
RBPMS-AS1,0.0061049303,193
GJB2,0.006054568,194
KIF20A,0.006011642,195
MYEOV,0.005956573,196
C1QTNF7,0.0059238686,197
MEOX2,0.005914063,198
CFD,0.0057787946,199
SBK1,0.0057718353,200
MYH1,0.0056818696,201
MB,0.005621466,202
