gene,tabnet_importance,tabnet_rank
PLAC9,0.0755538037609215,1
FABP4,0.06839478108311225,2
MAGI2-AS3,0.06190332783908468,3
ABCA6,0.06115867592264357,4
CEP55,0.058458457009577566,5
TOP2A,0.05117198992924271,6
G0S2,0.045433905087064574,7
CCNB1,0.03555821829287578,8
MYBL2,0.0355033007295411,9
CPED1,0.03272785276377008,10
CDC20,0.03038110890659973,11
KIF20A,0.022976698357448047,12
TMEM132C,0.021655159432528135,13
BMP2,0.020477765944290353,14
RAB26,0.019628862766229868,15
UBE2C,0.01949750513570567,16
ZNF703,0.018565672727166808,17
COL10A1,0.018005235869018688,18
NAT1,0.014649656682811991,19
PRR15,0.01295654497565302,20
TSPAN13,0.012897515514387038,21
PROS1,0.012313256993694408,22
C14orf180,0.012048075924667537,23
CENPF,0.01159156168248128,24
CCDC80,0.010917418402657279,25
CXCL10,0.010009504225873767,26
IGF1,0.009301542828130758,27
BGN,0.008650291782244812,28
MGLL,0.008191838632825802,29
ITGA7,0.007825146268726527,30
S1PR1,0.007818679144835732,31
ADH1B,0.006754858823597069,32
SLC29A4,0.006709537146593909,33
MFAP2,0.006457366862066816,34
ANLN,0.006345024100481101,35
COL1A2,0.006126349327554083,36
COL11A1,0.006057849929279554,37
KIF4A,0.005589396511442473,38
KIF23,0.005144658963831597,39
MEOX1,0.005059895995685375,40
GHR,0.004884944894563952,41
CXCL9,0.004514548832297355,42
CA3,0.004457181929388825,43
OGN,0.004270884383455988,44
SLIT3,0.004247707198496306,45
STX11,0.0041229458661275805,46
LMNB1,0.0038768333594864333,47
SAPCD2,0.0038414314175022717,48
CNRIP1,0.003608125092741424,49
FGFBP2,0.0035150830167043376,50
HOXA7,0.003437980956081872,51
SMIM22,0.00328544510156478,52
SDC1,0.003229317745136622,53
CKMT2,0.003138378419538206,54
ASPA,0.0030947423741030915,55
MMP9,0.0029301077059745713,56
LDHD,0.0027600199093037515,57
NRN1,0.0025831397575176067,58
PDK4,0.0025570512261238578,59
ANGPTL1,0.002286981341463673,60
MAPK10,0.002166106779255339,61
ABCA8,0.002086615741872612,62
ACVR1C,0.0019938418919793277,63
CAV1,0.0019544017588581245,64
CD248,0.0019477660945244446,65
RRM2,0.001914749205338537,66
MMP28,0.001728504502579755,67
UBE2T,0.0016896215438487313,68
COL6A6,0.0016187544109106918,69
C2CD2,0.0015131526186695694,70
TRHDE-AS1,0.001508458656538631,71
TMEM97,0.001449508050212186,72
RECQL4,0.0012953840102062708,73
GYPC,0.0011721446669206367,74
MFAP5,0.0011672528759276337,75
FAM83D,0.0010013113762385895,76
EMP1,0.0009674600818650493,77
CCDC3,0.0008932148300499023,78
FANCI,0.0008020779188205106,79
LRRC15,0.0007775177598765294,80
BIN1,0.0007288498368413763,81
AGR3,0.0005943013040612733,82
TFF3,0.0005722398707614906,83
KRT18,0.0005443124901635693,84
FAM83H,0.0005439767334548915,85
APOLD1,0.00047901661256217375,86
TRIP13,0.00047158330306335466,87
AKR1C1,0.00043155013766712786,88
NUF2,0.00042155851868386955,89
FHL1,0.0004148308294990367,90
RGS2,0.0004121528784442463,91
EHD2,0.00038647219425361066,92
GPR34,0.00034842417293421763,93
LRRN4CL,0.00033014582083603565,94
CIDEA,0.00028423015423268647,95
LAMP3,0.0002785172539191116,96
MELK,0.0002637058745573697,97
PLSCR4,0.00021505815013530194,98
VGLL3,0.00020038599475421913,99
TNS1,0.00018418600205618194,100
ZG16B,0.00016700444411871219,101
KRT8,0.00010570479159290238,102
ARHGAP20,9.772740136471132e-05,103
ADH1C,9.620725504346718e-05,104
BIK,8.023085934649615e-05,105
C6,7.764509967449833e-05,106
MTCL1,7.487072653432847e-05,107
KL,7.09482041801386e-05,108
AOC3,6.914581962241274e-05,109
SH3D19,6.221568088487313e-05,110
NR3C1,4.512762984101148e-05,111
MRAS,4.4661153981611334e-05,112
CLDN5,3.98862557072344e-05,113
AADAC,3.227295261411507e-05,114
CRYAB,1.559034561686801e-05,115
GDF10,1.4960857118290362e-05,116
DGAT2,1.0495725684781779e-05,117
COX7A1,1.0273650504949807e-05,118
MMP1,5.570929164492825e-06,119
