gene,tabnet_importance,tabnet_rank,mean_abs_shap,shap_rank
PLAC9,0.0755538037609215,1,0.0009414811,418
FABP4,0.06839478108311225,2,0.00012130098,495
MAGI2-AS3,0.06190332783908468,3,0.0025724326,314
ABCA6,0.06115867592264357,4,0.00023517739,486
CEP55,0.058458457009577566,5,0.15198173,8
TOP2A,0.05117198992924271,6,0.008699694,147
G0S2,0.045433905087064574,7,0.00403113,251
CCNB1,0.03555821829287578,8,0.034518555,47
MYBL2,0.0355033007295411,9,0.012614405,103
CPED1,0.03272785276377008,10,0.0013789955,386
CDC20,0.03038110890659973,11,0.07341053,17
KIF20A,0.022976698357448047,12,0.006011642,195
TMEM132C,0.021655159432528135,13,0.0011986061,400
BMP2,0.020477765944290353,14,0.010069431,128
RAB26,0.019628862766229868,15,0.0029428778,297
UBE2C,0.01949750513570567,16,0.0041802586,245
ZNF703,0.018565672727166808,17,0.04439206,34
COL10A1,0.018005235869018688,18,0.0026237057,311
NAT1,0.014649656682811991,19,0.12938274,9
PRR15,0.01295654497565302,20,0.0114941625,113
TSPAN13,0.012897515514387038,21,0.004602438,233
PROS1,0.012313256993694408,22,0.009521691,132
C14orf180,0.012048075924667537,23,0.0010854792,403
CENPF,0.01159156168248128,24,0.022838064,67
CCDC80,0.010917418402657279,25,0.0040617255,249
CXCL10,0.010009504225873767,26,0.009444104,133
IGF1,0.009301542828130758,27,0.0019025255,350
BGN,0.008650291782244812,28,0.001323595,389
MGLL,0.008191838632825802,29,0.0062596835,191
ITGA7,0.007825146268726527,30,0.011223129,116
S1PR1,0.007818679144835732,31,0.0031490524,283
ADH1B,0.006754858823597069,32,0.0,511
SLC29A4,0.006709537146593909,33,0.0070555587,172
MFAP2,0.006457366862066816,34,0.012762569,101
ANLN,0.006345024100481101,35,0.03261237,48
COL1A2,0.006126349327554083,36,0.0,502
COL11A1,0.006057849929279554,37,0.0015383594,373
KIF4A,0.005589396511442473,38,0.0009653514,415
KIF23,0.005144658963831597,39,0.008850617,144
MEOX1,0.005059895995685375,40,0.004631561,229
GHR,0.004884944894563952,41,0.003068001,289
CXCL9,0.004514548832297355,42,0.013913435,95
CA3,0.004457181929388825,43,0.015430229,90
OGN,0.004270884383455988,44,0.0055769985,204
SLIT3,0.004247707198496306,45,0.00019685033,491
STX11,0.0041229458661275805,46,0.002797639,303
LMNB1,0.0038768333594864333,47,0.003750911,262
SAPCD2,0.0038414314175022717,48,0.054996092,26
CNRIP1,0.003608125092741424,49,0.0,513
FGFBP2,0.0035150830167043376,50,0.0039503574,256
HOXA7,0.003437980956081872,51,0.001271883,392
SMIM22,0.00328544510156478,52,0.0034368208,272
SDC1,0.003229317745136622,53,0.06557321,19
CKMT2,0.003138378419538206,54,0.0075536226,165
ASPA,0.0030947423741030915,55,0.0015325048,374
MMP9,0.0029301077059745713,56,0.0028653417,299
LDHD,0.0027600199093037515,57,0.0042870385,244
NRN1,0.0025831397575176067,58,0.00093953294,419
PDK4,0.0025570512261238578,59,0.0017962038,357
ANGPTL1,0.002286981341463673,60,0.0008942551,425
MAPK10,0.002166106779255339,61,0.021557719,70
ABCA8,0.002086615741872612,62,0.0009183546,422
ACVR1C,0.0019938418919793277,63,0.0006735755,447
CAV1,0.0019544017588581245,64,0.0441329,35
CD248,0.0019477660945244446,65,0.00034000896,480
RRM2,0.001914749205338537,66,0.16705985,5
MMP28,0.001728504502579755,67,0.025679123,64
UBE2T,0.0016896215438487313,68,0.038980633,39
COL6A6,0.0016187544109106918,69,0.0054648067,211
C2CD2,0.0015131526186695694,70,0.010038755,129
TRHDE-AS1,0.001508458656538631,71,0.002625243,310
TMEM97,0.001449508050212186,72,0.011505807,112
RECQL4,0.0012953840102062708,73,0.0034346248,273
GYPC,0.0011721446669206367,74,0.01224909,105
MFAP5,0.0011672528759276337,75,0.0010406732,407
FAM83D,0.0010013113762385895,76,0.027948262,58
EMP1,0.0009674600818650493,77,0.001838449,354
CCDC3,0.0008932148300499023,78,0.00047683166,469
FANCI,0.0008020779188205106,79,0.009147476,138
LRRC15,0.0007775177598765294,80,0.002338512,329
BIN1,0.0007288498368413763,81,0.010432132,125
AGR3,0.0005943013040612733,82,0.16682382,6
TFF3,0.0005722398707614906,83,0.03673631,44
KRT18,0.0005443124901635693,84,0.0028605592,300
FAM83H,0.0005439767334548915,85,0.007378961,167
